Obs Type,Source,Species,Lat,Lon
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.525
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.525
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.525
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.08,-74.6533335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.7308335,-74.635
Specimen/Lot,NMNH,Bathypolypus bairdii,36.7308335,-74.635
Specimen/Lot,NMNH,Bathypolypus bairdii,36.7308335,-74.635
Specimen/Lot,NMNH,Bathypolypus bairdii,-0.5,-90.5
Specimen/Lot,NMNH,Bathypolypus bairdii,44.525,-56.875
Specimen/Lot,NMNH,Bathypolypus bairdii,39.92,-70.52
Specimen/Lot,MCZ,"	Bathypolypus",42.89166667,-68.975
Specimen/Lot,MCZ,"	Bathypolypus",,
Specimen/Lot,MCZ,"	Bathypolypus",42.26666667,-69.75
Specimen/Lot,MCZ,"	Bathypolypus",40,70.3
Specimen/Lot,MCZ,"	Bathypolypus",40.28333333,-67.96666667
Specimen/Lot,MCZ,"	Bathypolypus",,
Specimen/Lot,MCZ,"	Bathypolypus",,
Specimen/Lot,MCZ,"	Bathypolypus",,
Specimen/Lot,MCZ,"	Bathypolypus",41.70833333,-68.675
Specimen/Lot,MCZ,"	Bathypolypus",42.30833333,-65.025
Specimen/Lot,MCZ,"	Bathypolypus",44.36638,-68.839857
Specimen/Lot,MCZ,"	Bathypolypus",40.53333333,-72.03333333
Specimen/Lot,MCZ,"	Bathypolypus",,
Specimen/Lot,MCZ,"	Bathypolypus",41.70833333,-68.675
Specimen/Lot,MCZ,"	Bathypolypus",42.891579,-70.145065
Specimen/Lot,MCZ,"	Bathypolypus",41.88333333,-69.9
Specimen/Lot,MCZ,"	Bathypolypus",42.891579,-70.145065
Specimen/Lot,MCZ,"	Bathypolypus",,
Specimen/Lot,MCZ,"	Bathypolypus",42.91666667,-70.3
Specimen/Lot,MCZ,"	Bathypolypus",42.3,-67.15
Specimen/Lot,MCZ,"	Bathypolypus",,
Specimen/Lot,MCZ,"	Bathypolypus",43.25833333,-67.575
Specimen/Lot,MCZ,"	Bathypolypus",43.125,-70.175
Specimen/Lot,MCZ,"	Bathypolypus",45.86666667,-68.03333333
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",,
Specimen/Lot,MCZ,"	Bathypolpus bairdii",44.687797,-66.694785
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",39.98333333,-70.63333333
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",42.35,-67.41666667
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",,
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",42.84166667,-70.3
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",43.0773,-70.07617
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",39.76666667,-71.58333333
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",,
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",42.690396,-70.720201
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",49.187937,-68.189543
