Obs Type,Source,Species,Depth
Specimen/Lot,NMNH,Bathypolypus bairdii,645
Specimen/Lot,NMNH,Bathypolypus bairdii,645
Specimen/Lot,NMNH,Bathypolypus bairdii,645
Specimen/Lot,NMNH,Bathypolypus bairdii,645
Specimen/Lot,NMNH,Bathypolypus bairdii,645
Specimen/Lot,NMNH,Bathypolypus bairdii,645
Specimen/Lot,NMNH,Bathypolypus bairdii,645
Specimen/Lot,NMNH,Bathypolypus bairdii,645
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,910
Specimen/Lot,NMNH,Bathypolypus bairdii,910
Specimen/Lot,NMNH,Bathypolypus bairdii,910
Specimen/Lot,NMNH,Bathypolypus bairdii,910
Specimen/Lot,NMNH,Bathypolypus bairdii,910
Specimen/Lot,NMNH,Bathypolypus bairdii,910
Specimen/Lot,NMNH,Bathypolypus bairdii,910
Specimen/Lot,NMNH,Bathypolypus bairdii,910
Specimen/Lot,NMNH,Bathypolypus bairdii,910
Specimen/Lot,NMNH,Bathypolypus bairdii,910
Specimen/Lot,NMNH,Bathypolypus bairdii,704
Specimen/Lot,NMNH,Bathypolypus bairdii,704
Specimen/Lot,NMNH,Bathypolypus bairdii,704
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,680
Specimen/Lot,NMNH,Bathypolypus bairdii,268
Specimen/Lot,NMNH,Bathypolypus bairdii,268
Specimen/Lot,NMNH,Bathypolypus bairdii,268
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
